timestamp,hand_x,hand_y,hand_z,hand_vx,hand_vy,hand_vz,hand_ax,hand_ay,hand_az,target_x,target_y,target_z,ee_x,ee_y,ee_z,touch_flag,joint_cmd_0,joint_cmd_1,joint_cmd_2,joint_cmd_3,joint_cmd_4,joint_cmd_5,joint_cmd_6
1754967115.3134608,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967115.4206898,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967115.5236247,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967115.6266642,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967115.7289126,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967115.8316526,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967115.9344633,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967116.036752,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967116.1392474,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967116.2425387,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967116.345464,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967116.448079,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967116.5505366,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967116.652647,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967116.7549472,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967116.8577936,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967116.9600375,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967117.0628114,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967117.165579,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967117.268565,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967117.371185,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967117.4757333,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967117.5785677,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967117.6811838,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967117.783772,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967117.885639,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967117.9886594,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967118.0903254,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967118.1934295,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967118.2960768,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967118.3995042,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967118.507059,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967118.6096523,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967118.7114697,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967118.8140762,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967118.9166992,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967119.0195684,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967119.1218166,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967119.2241597,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967119.327037,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967119.429368,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967119.5336666,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967119.6365323,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
1754967119.73961,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,
