timestamp,sequence_id,ID,x,y,z,reach_flag,touch_flag,s_hand,s_head,s_accel
1753254845.8513885,0,0,-0.32231301069259644,-0.3131214678287506,0.18812264502048492,1,0,0.20862716436386108,0.8418281078338623,0.0
1753254845.8513885,0,1,0.3271256387233734,-0.42799001932144165,0.2575511932373047,1,0,0.14420092105865479,0.8443130254745483,0.0
1753254845.8513885,0,2,-0.106545090675354,-0.3001347482204437,0.15390974283218384,1,0,0.5748218297958374,0.9329105615615845,0.0
1753254845.8513885,0,3,0.23835235834121704,-0.3988710045814514,0.46563073992729187,1,0,0.0854533314704895,0.9444367289543152,0.0
1753254845.8528345,0,0,-0.32231301069259644,-0.3131214678287506,0.18812264502048492,1,0,0.20862716436386108,0.8418281078338623,0.0
1753254845.8528345,0,1,0.3271256387233734,-0.42799001932144165,0.2575511932373047,1,0,0.14420092105865479,0.8443130254745483,0.0
1753254845.8528345,0,2,-0.106545090675354,-0.3001347482204437,0.15390974283218384,1,0,0.5748218297958374,0.9329105615615845,0.0
1753254845.8528345,0,3,0.23835235834121704,-0.3988710045814514,0.46563073992729187,1,0,0.0854533314704895,0.9444367289543152,0.0
1753254845.8530633,0,0,-0.32231301069259644,-0.3131214678287506,0.18812264502048492,1,0,0.20862716436386108,0.8418281078338623,0.0
1753254845.8530633,0,1,0.3271256387233734,-0.42799001932144165,0.2575511932373047,1,0,0.14420092105865479,0.8443130254745483,0.0
1753254845.8530633,0,2,-0.106545090675354,-0.3001347482204437,0.15390974283218384,1,0,0.5748218297958374,0.9329105615615845,0.0
1753254845.8530633,0,3,0.23835235834121704,-0.3988710045814514,0.46563073992729187,1,0,0.0854533314704895,0.9444367289543152,0.0
1753254845.9572158,0,0,-0.32231301069259644,-0.3131214678287506,0.18812264502048492,1,0,0.20862716436386108,0.8418281078338623,0.0
1753254845.9572158,0,1,0.3271256387233734,-0.42799001932144165,0.2575511932373047,1,0,0.14420092105865479,0.8443130254745483,0.0
1753254845.9572158,0,2,-0.106545090675354,-0.3001347482204437,0.15390974283218384,1,0,0.5748218297958374,0.9329105615615845,0.0
1753254845.9572158,0,3,0.23835235834121704,-0.3988710045814514,0.46563073992729187,1,0,0.0854533314704895,0.9444367289543152,0.0
1753254845.958849,0,0,-0.32231301069259644,-0.3131214678287506,0.18812264502048492,1,0,0.20862716436386108,0.8418281078338623,0.0
1753254845.958849,0,1,0.3271256387233734,-0.42799001932144165,0.2575511932373047,1,0,0.14420092105865479,0.8443130254745483,0.0
1753254845.958849,0,2,-0.106545090675354,-0.3001347482204437,0.15390974283218384,1,0,0.5748218297958374,0.9329105615615845,0.0
1753254845.958849,0,3,0.23835235834121704,-0.3988710045814514,0.46563073992729187,1,0,0.0854533314704895,0.9444367289543152,0.0
1753254845.9590502,0,0,-0.32231301069259644,-0.3131214678287506,0.18812264502048492,1,0,0.20862716436386108,0.8418281078338623,0.0
1753254845.9590502,0,1,0.3271256387233734,-0.42799001932144165,0.2575511932373047,1,0,0.14420092105865479,0.8443130254745483,0.0
1753254845.9590502,0,2,-0.106545090675354,-0.3001347482204437,0.15390974283218384,1,0,0.5748218297958374,0.9329105615615845,0.0
1753254845.9590502,0,3,0.23835235834121704,-0.3988710045814514,0.46563073992729187,1,0,0.0854533314704895,0.9444367289543152,0.0
1753254845.9592206,0,0,-0.32231301069259644,-0.3131214678287506,0.18812264502048492,1,0,0.20862716436386108,0.8418281078338623,0.0
1753254845.9592206,0,1,0.3271256387233734,-0.42799001932144165,0.2575511932373047,1,0,0.14420092105865479,0.8443130254745483,0.0
1753254845.9592206,0,2,-0.106545090675354,-0.3001347482204437,0.15390974283218384,1,0,0.5748218297958374,0.9329105615615845,0.0
1753254845.9592206,0,3,0.23835235834121704,-0.3988710045814514,0.46563073992729187,1,0,0.0854533314704895,0.9444367289543152,0.0
1753254845.9593818,0,0,-0.32231301069259644,-0.3131214678287506,0.18812264502048492,1,0,0.20862716436386108,0.8418281078338623,0.0
1753254845.9593818,0,1,0.3271256387233734,-0.42799001932144165,0.2575511932373047,1,0,0.14420092105865479,0.8443130254745483,0.0
1753254845.9593818,0,2,-0.106545090675354,-0.3001347482204437,0.15390974283218384,1,0,0.5748218297958374,0.9329105615615845,0.0
1753254845.9593818,0,3,0.23835235834121704,-0.3988710045814514,0.46563073992729187,1,0,0.0854533314704895,0.9444367289543152,0.0
